profile_key,propeller,battery_cells,throttle_pct,voltage_v,current_a,power_w,rpm,thrust_g,g_per_watt,electrical_eff_pct,mechanical_power_w,motor_temp_c,vibration_g,is_optimal_cruise_zone
3S_1045_optimal,10x4.5 in (1045),3,0,12.4,0.0,0.0,0,0,0.0,0.0,0.0,24.0,0.02,0
3S_1045_optimal,10x4.5 in (1045),3,10,12.35,0.65,8.03,1280,55,6.85,15.0,0.14,25.2,0.05,0
3S_1045_optimal,10x4.5 in (1045),3,20,12.28,1.25,15.35,2350,130,8.47,15.0,1.77,26.8,0.08,0
3S_1045_optimal,10x4.5 in (1045),3,30,12.18,2.1,25.58,3420,225,8.8,22.3,5.7,28.5,0.12,0
3S_1045_optimal,10x4.5 in (1045),3,40,12.05,3.2,38.56,4450,340,8.82,32.9,12.68,31.0,0.16,0
3S_1045_optimal,10x4.5 in (1045),3,50,11.88,4.55,54.05,5320,460,8.51,42.3,22.88,34.2,0.2,1
3S_1045_optimal,10x4.5 in (1045),3,55,11.78,5.35,63.02,5710,520,8.25,46.8,29.47,36.1,0.22,1
3S_1045_optimal,10x4.5 in (1045),3,60,11.66,6.25,72.88,6080,580,7.96,51.1,37.26,38.4,0.25,1
3S_1045_optimal,10x4.5 in (1045),3,65,11.52,7.3,84.1,6420,640,7.61,55.4,46.6,41.0,0.29,0
3S_1045_optimal,10x4.5 in (1045),3,70,11.38,8.45,96.16,6740,705,7.33,59.5,57.25,44.2,0.34,0
3S_1045_optimal,10x4.5 in (1045),3,75,11.2,9.75,109.2,7030,765,7.01,63.7,69.54,48.0,0.4,0
3S_1045_optimal,10x4.5 in (1045),3,80,11.02,11.1,122.32,7300,825,6.74,67.7,82.81,52.5,0.47,0
3S_1045_optimal,10x4.5 in (1045),3,85,10.82,12.35,133.63,7540,875,6.55,71.6,95.67,57.0,0.55,0
3S_1045_optimal,10x4.5 in (1045),3,90,10.6,13.5,143.1,7750,920,6.43,75.4,107.92,62.0,0.64,0
3S_1045_optimal,10x4.5 in (1045),3,95,10.35,14.3,148.0,7920,955,6.45,79.1,117.1,67.5,0.73,0
3S_1045_optimal,10x4.5 in (1045),3,100,10.15,14.95,151.74,8050,980,6.46,82.1,124.65,73.0,0.82,0
3S_1047,10x4.7 in (1047),3,0,12.4,0.0,0.0,0,0,0.0,0.0,0.0,24.0,0.02,0
3S_1047,10x4.7 in (1047),3,10,12.34,0.72,8.88,1220,58,6.53,15.0,0.22,25.5,0.06,0
3S_1047,10x4.7 in (1047),3,20,12.25,1.4,17.15,2240,138,8.05,15.0,2.05,27.2,0.09,0
3S_1047,10x4.7 in (1047),3,30,12.12,2.38,28.85,3280,242,8.39,22.4,6.45,29.3,0.14,0
3S_1047,10x4.7 in (1047),3,40,11.98,3.65,43.73,4270,365,8.35,32.5,14.23,32.4,0.19,0
3S_1047,10x4.7 in (1047),3,50,11.78,5.15,60.67,5100,495,8.16,41.6,25.23,36.5,0.24,1
3S_1047,10x4.7 in (1047),3,60,11.52,7.1,81.79,5840,620,7.58,50.3,41.13,41.5,0.31,1
3S_1047,10x4.7 in (1047),3,70,11.22,9.5,106.59,6470,745,6.99,58.4,62.27,48.0,0.4,0
3S_1047,10x4.7 in (1047),3,80,10.85,12.2,132.37,7000,865,6.53,66.2,87.69,56.5,0.54,0
3S_1047,10x4.7 in (1047),3,90,10.42,14.4,150.05,7420,950,6.33,73.6,110.5,66.8,0.7,0
3S_1047,10x4.7 in (1047),3,100,10.02,15.8,158.32,7700,1010,6.38,79.7,126.26,78.5,0.88,0
4S_8045,8x4.5 in (8045),4,0,16.5,0.0,0.0,0,0,0.0,0.0,0.0,24.0,0.02,0
4S_8045,8x4.5 in (8045),4,10,16.42,0.75,12.32,1710,62,5.03,15.0,0.37,25.8,0.06,0
4S_8045,8x4.5 in (8045),4,20,16.3,1.45,23.64,3150,145,6.13,15.0,3.05,27.9,0.1,0
4S_8045,8x4.5 in (8045),4,30,16.12,2.45,39.49,4600,250,6.33,23.8,9.4,31.0,0.16,0
4S_8045,8x4.5 in (8045),4,40,15.9,3.75,59.62,5980,375,6.29,34.5,20.58,35.0,0.23,0
4S_8045,8x4.5 in (8045),4,50,15.65,5.3,82.94,7200,510,6.15,44.3,36.77,40.0,0.3,1
4S_8045,8x4.5 in (8045),4,60,15.35,7.2,110.52,8310,650,5.88,53.8,59.42,46.0,0.4,1
4S_8045,8x4.5 in (8045),4,70,15.0,9.4,141.0,9300,795,5.64,62.8,88.5,53.0,0.52,0
4S_8045,8x4.5 in (8045),4,80,14.58,11.9,173.5,10180,930,5.36,71.6,124.24,61.5,0.66,0
4S_8045,8x4.5 in (8045),4,90,14.1,14.2,200.22,10890,1045,5.22,79.8,159.84,71.0,0.82,0
4S_8045,8x4.5 in (8045),4,100,13.65,16.1,219.77,11400,1130,5.14,86.7,190.61,82.0,0.96,0
4S_9045,9x4.5 in (9045),4,0,16.5,0.0,0.0,0,0,0.0,0.0,0.0,24.0,0.02,0
4S_9045,9x4.5 in (9045),4,10,16.4,0.88,14.43,1580,75,5.2,15.0,0.56,26.5,0.07,0
4S_9045,9x4.5 in (9045),4,20,16.22,1.8,29.2,2920,180,6.16,15.0,3.92,29.2,0.12,0
4S_9045,9x4.5 in (9045),4,30,15.98,3.15,50.34,4240,315,6.26,23.5,11.85,33.5,0.19,0
4S_9045,9x4.5 in (9045),4,40,15.7,4.9,76.93,5500,475,6.17,33.4,25.73,39.0,0.28,0
4S_9045,9x4.5 in (9045),4,50,15.35,7.1,108.98,6650,645,5.92,43.0,46.84,46.2,0.38,1
4S_9045,9x4.5 in (9045),4,60,14.95,9.8,146.51,7680,820,5.6,52.1,76.39,54.8,0.5,1
4S_9045,9x4.5 in (9045),4,70,14.48,12.8,185.34,8560,990,5.34,60.8,112.75,65.0,0.67,0
4S_9045,9x4.5 in (9045),4,80,13.95,15.6,217.62,9280,1130,5.19,69.0,150.18,77.0,0.85,0
4S_9045,9x4.5 in (9045),4,90,13.4,17.8,238.52,9780,1225,5.14,76.1,181.4,89.0,1.05,0
4S_9045,9x4.5 in (9045),4,100,12.85,19.4,249.29,10080,1290,5.17,82.0,204.31,99.5,1.22,0
