rpm,voltage_v,current_a,power_elec_w,temperature_c,vibration_rms_g,throttle_pct,load_pct,efficiency_pct,residual_rpm,residual_current_a,residual_temperature_c,residual_vibration_g,norm_residual_rpm,norm_residual_current,norm_residual_temp,norm_residual_vibration,composite_residual_score,rolling_mean_rpm,rolling_std_rpm,rolling_mean_temp,rolling_std_temp,rolling_mean_vib,rolling_std_vib,thermal_slope_c_per_s,vibration_slope_g_per_s,electrical_loss_ratio,fault_class,is_anomaly,rul_hours,trajectory_id,step,severity
4761.1,14.79,5.71,84.44,33.35,0.188,39.44,40.62,32.74,48.3,0.05,4.23,-0.011,0.4,0.06,1.69,-0.14,3.93,4761.1,0.0,33.35,0.0,0.188,0.0,0.0,0.0,0.673,NORMAL,0,90.98,0,0,0.0
4980.5,14.81,6.23,92.24,36.25,0.232,41.17,40.62,34.31,52.3,0.11,7.13,0.021,0.44,0.14,2.85,0.26,4.05,4870.8,109.7,34.8,1.45,0.21,0.022,0.0,0.0,0.657,NORMAL,0,90.9,0,1,0.0
4920.9,14.88,6.06,90.15,39.08,0.207,40.5,40.62,33.86,50.5,0.06,8.01,-0.001,0.42,0.07,3.2,-0.01,4.12,4887.5,92.63,36.23,2.339,0.209,0.018,1.432,0.0047,0.661,NORMAL,0,90.83,0,2,0.0
5030.5,14.79,6.39,94.54,41.84,0.214,41.94,40.62,34.49,16.1,0.07,8.88,-0.002,0.13,0.09,3.55,-0.03,4.18,4923.2,101.34,37.63,3.164,0.21,0.0158,1.415,0.0043,0.655,NORMAL,0,90.75,0,3,0.0
4964.2,14.83,6.19,91.85,43.57,0.217,41.02,40.62,34.12,47.4,0.09,8.92,0.007,0.39,0.11,3.57,0.09,4.19,4931.4,92.11,38.82,3.695,0.212,0.0143,1.277,0.0036,0.659,NORMAL,0,90.67,0,4,0.0
4956.1,14.88,6.33,94.2,45.42,0.219,40.88,40.62,33.1,39.6,0.23,9.21,0.009,0.33,0.29,3.68,0.11,4.29,4935.6,84.58,39.92,4.175,0.213,0.0134,1.207,0.0031,0.669,NORMAL,0,90.59,0,5,0.0
4880.5,14.79,6.06,89.58,46.87,0.205,40.32,40.62,33.24,61.5,0.18,9.28,0.0,0.51,0.22,3.71,0.0,4.26,4927.7,80.64,40.91,4.567,0.212,0.0127,1.127,0.0014,0.668,NORMAL,0,90.52,0,6,0.0
4838.1,14.77,5.8,85.66,48.27,0.195,40.09,40.62,33.86,53.4,-0.01,9.42,-0.008,0.45,-0.01,3.77,-0.1,4.22,4916.5,81.05,41.83,4.917,0.21,0.0131,1.066,0.0005,0.661,NORMAL,0,90.44,0,7,0.0
5205.0,14.78,6.51,96.27,49.05,0.242,43.14,40.62,37.52,49.4,-0.13,8.81,0.017,0.41,-0.16,3.52,0.21,4.0,4948.5,118.57,42.63,5.161,0.213,0.016,0.981,0.0034,0.625,NORMAL,0,90.36,0,8,0.0
4755.7,14.85,5.55,82.4,49.88,0.145,39.26,40.62,33.44,45.4,-0.1,8.62,-0.054,0.38,-0.13,3.45,-0.68,4.17,4929.3,126.49,43.36,5.357,0.206,0.0255,0.918,-0.0024,0.666,NORMAL,0,90.29,0,9,0.0
5035.8,14.83,6.29,93.33,50.91,0.238,41.63,40.62,35.05,45.2,0.03,8.55,0.023,0.38,0.04,3.42,0.29,4.12,4956.7,116.42,45.11,4.615,0.211,0.0263,0.814,0.0003,0.65,NORMAL,0,90.21,0,10,0.0
5053.1,14.82,6.46,95.73,51.74,0.215,41.86,40.62,34.52,38.1,0.14,8.35,-0.001,0.32,0.17,3.34,-0.01,4.14,4964.0,119.89,46.66,3.929,0.21,0.0254,0.703,0.0004,0.655,NORMAL,0,90.13,0,11,0.0
4934.0,14.84,6.5,96.41,52.02,0.203,40.53,40.62,31.91,73.2,0.52,7.77,-0.004,0.61,0.65,3.11,-0.05,4.26,4965.3,119.48,47.96,3.299,0.209,0.0255,0.566,-0.0006,0.681,NORMAL,0,90.06,0,12,0.0
4933.6,14.75,6.14,90.58,52.8,0.221,40.94,40.62,33.96,53.2,0.12,7.73,0.013,0.44,0.15,3.09,0.16,4.1,4955.6,117.72,49.05,2.878,0.21,0.0257,0.513,0.0002,0.66,NORMAL,0,89.98,0,13,0.0
4705.3,14.84,5.59,82.97,52.81,0.224,38.8,40.62,32.16,53.9,0.06,7.11,0.029,0.45,0.07,2.84,0.36,4.12,4929.7,139.44,49.98,2.416,0.211,0.026,0.411,0.0003,0.678,NORMAL,0,89.9,0,14,0.0
4885.7,14.77,6.1,90.14,53.22,0.245,40.67,40.62,33.14,31.1,0.14,6.83,0.038,0.26,0.17,2.73,0.48,4.09,4922.7,139.71,50.76,2.05,0.213,0.0279,0.353,0.0022,0.669,NORMAL,0,89.82,0,15,0.0
5068.2,14.72,6.42,94.54,53.91,0.228,41.83,40.62,35.28,91.0,0.19,6.82,0.014,0.76,0.24,2.73,0.18,3.98,4941.4,145.28,51.46,1.786,0.216,0.0281,0.313,0.0018,0.647,NORMAL,0,89.75,0,16,0.0
5276.3,14.86,7.06,104.91,54.51,0.225,43.58,40.62,35.87,39.2,0.23,6.64,-0.004,0.33,0.29,2.66,-0.05,3.97,4985.3,171.26,52.09,1.647,0.219,0.0273,0.303,-0.0009,0.641,NORMAL,0,89.67,0,17,0.0
4852.7,14.88,6.16,91.64,53.92,0.225,40.0,40.62,31.94,43.0,0.3,5.54,0.021,0.36,0.37,2.22,0.26,4.09,4950.0,158.17,52.57,1.375,0.217,0.0263,0.224,0.0044,0.681,NORMAL,0,89.59,0,18,0.0
5216.6,14.79,6.61,97.71,54.43,0.242,43.45,40.62,37.21,20.0,-0.13,5.39,0.015,0.17,-0.16,2.16,0.19,3.78,4996.1,161.94,53.03,1.142,0.227,0.012,0.196,0.0002,0.628,NORMAL,0,89.52,0,19,0.0
5012.3,14.76,6.53,96.42,54.69,0.186,41.69,40.62,33.45,38.3,0.3,5.16,-0.028,0.32,0.37,2.06,-0.35,4.01,4993.8,161.51,53.4,0.994,0.221,0.0164,0.164,-0.0016,0.665,NORMAL,0,89.44,0,20,0.0
4599.8,14.75,5.2,76.69,54.38,0.193,38.18,40.62,32.51,51.4,-0.11,4.58,0.003,0.43,-0.14,1.83,0.04,3.91,4948.4,198.0,53.67,0.858,0.219,0.0185,0.131,-0.0006,0.675,NORMAL,0,89.36,0,21,0.0
4964.8,14.76,6.06,89.46,54.91,0.191,41.28,40.62,35.04,40.1,-0.06,4.7,-0.02,0.33,-0.08,1.88,-0.25,3.84,4951.5,197.99,53.96,0.732,0.218,0.0198,0.117,-0.0017,0.65,NORMAL,0,89.28,0,22,0.0
5264.8,14.79,6.71,99.25,54.78,0.217,43.62,40.62,37.66,47.7,-0.08,4.04,-0.011,0.4,-0.1,1.62,-0.14,3.69,4984.7,218.82,54.16,0.656,0.218,0.0198,0.109,-0.0004,0.623,NORMAL,0,89.21,0,23,0.0
4850.4,14.8,5.91,87.49,54.96,0.194,40.16,40.62,33.41,47.5,0.06,3.94,-0.01,0.4,0.08,1.58,-0.12,3.9,4999.2,204.14,54.37,0.517,0.215,0.0208,0.097,-0.0028,0.666,NORMAL,0,89.13,0,24,0.0
5207.2,14.73,7.02,103.41,55.32,0.223,43.29,40.62,34.97,51.1,0.38,3.87,-0.002,0.43,0.47,1.55,-0.03,3.88,5031.3,208.99,54.58,0.425,0.212,0.0185,0.078,-0.0003,0.65,NORMAL,0,89.05,0,25,0.0
5243.5,14.82,6.77,100.36,55.53,0.21,43.45,40.62,36.8,36.3,0.01,3.65,-0.018,0.3,0.01,1.46,-0.23,3.73,5048.8,218.49,54.74,0.446,0.211,0.0178,0.057,-0.0008,0.632,NORMAL,0,88.98,0,26,0.0
5031.1,14.72,6.41,94.3,55.63,0.266,41.81,40.62,34.59,56.3,0.18,3.47,0.052,0.47,0.22,1.39,0.65,3.85,5024.3,204.92,54.85,0.51,0.215,0.0242,0.095,0.0023,0.654,NORMAL,0,88.9,0,27,0.0
5045.4,14.86,6.25,92.94,55.9,0.201,41.62,40.62,35.4,45.8,-0.03,3.47,-0.014,0.38,-0.04,1.39,-0.17,3.78,5043.6,196.78,55.05,0.493,0.212,0.0243,0.082,-0.0023,0.646,NORMAL,0,88.82,0,28,0.0
5136.7,14.74,6.54,96.39,55.64,0.224,42.87,40.62,36.02,27.6,0.01,2.91,0.002,0.23,0.01,1.16,0.03,3.74,5035.6,191.13,55.17,0.473,0.211,0.0226,0.053,0.0021,0.64,NORMAL,0,88.74,0,29,0.0
4901.3,14.82,6.04,89.49,55.74,0.197,40.67,40.62,33.7,30.2,0.04,2.85,-0.011,0.25,0.05,1.14,-0.14,3.85,5024.5,195.34,55.28,0.47,0.212,0.0216,0.076,0.0002,0.663,NORMAL,0,88.67,0,30,0.0
4853.4,14.79,6.01,88.92,55.28,0.212,40.41,40.62,32.93,23.6,0.1,2.25,0.007,0.2,0.12,0.9,0.09,3.89,5049.9,149.68,55.37,0.364,0.214,0.0207,0.021,0.0012,0.671,NORMAL,0,88.59,0,31,0.0
4890.9,14.81,6.11,90.52,55.4,0.2,40.37,40.62,33.11,59.3,0.2,2.24,-0.006,0.49,0.25,0.9,-0.07,3.88,5042.5,155.41,55.42,0.33,0.214,0.0199,0.034,-0.0009,0.669,NORMAL,0,88.51,0,32,0.0
4866.4,14.78,6.1,90.25,55.66,0.257,40.36,40.62,32.71,45.9,0.21,2.39,0.052,0.38,0.26,0.96,0.65,3.92,5002.6,143.96,55.51,0.257,0.218,0.0237,0.039,0.0035,0.673,NORMAL,0,88.44,0,33,0.0
5053.7,14.81,6.2,91.82,55.44,0.194,41.96,40.62,36.01,30.0,-0.14,1.97,-0.023,0.25,-0.17,0.79,-0.29,3.7,5023.0,135.11,55.55,0.186,0.218,0.0237,0.007,-0.0016,0.64,NORMAL,0,88.36,0,34,0.0
4994.8,14.78,6.36,94.01,55.48,0.234,41.61,40.62,33.95,23.6,0.14,1.86,0.02,0.2,0.18,0.74,0.25,3.84,5001.7,120.36,55.57,0.171,0.22,0.0241,-0.003,0.0013,0.66,NORMAL,0,88.28,0,35,0.0
4784.4,14.89,5.65,84.19,55.64,0.192,39.4,40.62,33.32,44.3,-0.06,1.97,-0.008,0.37,-0.07,0.79,-0.1,3.82,4955.8,106.1,55.58,0.172,0.218,0.0254,0.001,-0.0041,0.667,NORMAL,0,88.2,0,36,0.0
5473.2,14.81,7.4,109.6,55.65,0.234,45.16,40.62,38.32,63.0,0.15,1.63,-0.006,0.53,0.19,0.65,-0.07,3.61,5000.0,188.43,55.58,0.173,0.214,0.0207,-0.014,0.0018,0.617,NORMAL,0,88.13,0,37,0.0
5129.6,14.79,6.66,98.51,55.61,0.238,42.61,40.62,35.1,34.4,0.16,1.42,0.017,0.29,0.2,0.57,0.21,3.78,5008.4,192.11,55.55,0.138,0.218,0.0213,-0.002,0.0008,0.649,NORMAL,0,88.05,0,38,0.0
5051.0,14.79,6.27,92.65,55.87,0.218,41.83,40.62,35.63,49.9,-0.02,1.57,0.003,0.42,-0.03,0.63,0.04,3.71,4999.9,188.07,55.58,0.167,0.218,0.0212,0.007,0.0012,0.644,NORMAL,0,87.97,0,39,0.0
4993.9,14.79,6.18,91.37,55.98,0.243,41.51,40.62,34.92,31.4,-0.02,1.59,0.03,0.26,-0.03,0.64,0.38,3.76,5009.1,185.24,55.6,0.202,0.222,0.0212,0.039,0.0017,0.651,NORMAL,0,87.9,0,40,0.0
5151.7,14.81,6.42,95.09,55.56,0.221,42.51,40.62,36.83,61.6,-0.07,1.03,0.0,0.51,-0.09,0.41,0.0,3.64,5039.0,181.75,55.63,0.173,0.223,0.0209,0.009,0.0012,0.632,NORMAL,0,87.82,0,41,0.0
5068.1,14.74,6.43,94.82,56.03,0.258,42.07,40.62,35.17,55.2,0.12,1.41,0.042,0.46,0.15,0.56,0.53,3.76,5056.7,174.96,55.69,0.192,0.229,0.0218,0.021,0.0001,0.648,NORMAL,0,87.74,0,42,0.0
4836.2,14.85,5.93,88.02,55.79,0.191,39.93,40.62,32.92,44.7,0.1,1.18,-0.012,0.37,0.12,0.47,-0.15,3.86,5053.7,178.45,55.7,0.193,0.222,0.0222,0.019,-0.0002,0.671,NORMAL,0,87.66,0,43,0.0
4794.0,14.81,5.87,86.9,55.9,0.191,39.79,40.62,32.48,32.5,0.11,1.31,-0.011,0.27,0.14,0.52,-0.14,3.88,5027.7,194.71,55.75,0.179,0.222,0.0226,0.023,-0.0024,0.675,NORMAL,0,87.59,0,44,0.0
4773.1,14.73,5.73,84.34,55.49,0.233,39.86,40.62,33.03,29.1,0.01,0.92,0.032,0.24,0.01,0.37,0.4,3.83,5005.5,209.27,55.75,0.178,0.222,0.0226,-0.008,0.0023,0.67,NORMAL,0,87.51,0,45,0.0
5461.5,14.81,7.14,105.74,55.69,0.251,45.08,40.62,39.47,60.9,-0.08,0.85,0.012,0.51,-0.1,0.34,0.15,3.51,5073.2,234.76,55.76,0.175,0.228,0.0217,0.002,0.0009,0.605,NORMAL,0,87.43,0,46,0.0
5342.8,14.86,7.06,104.94,55.76,0.268,44.17,40.62,37.23,34.2,0.06,0.72,0.034,0.28,0.07,0.29,0.43,3.66,5060.2,214.97,55.77,0.171,0.231,0.0248,0.008,0.0017,0.628,NORMAL,0,87.36,0,47,0.0
4813.2,14.81,5.84,86.49,55.74,0.163,40.04,40.62,33.03,21.5,0.01,0.74,-0.04,0.18,0.01,0.3,-0.5,3.85,5028.6,225.45,55.78,0.164,0.224,0.0319,-0.007,-0.0031,0.67,NORMAL,0,87.28,0,48,0.0
4979.2,14.87,6.33,94.17,55.83,0.162,41.17,40.62,33.58,30.8,0.16,0.8,-0.05,0.26,0.2,0.32,-0.62,3.86,5021.4,225.76,55.78,0.162,0.218,0.037,-0.008,-0.0045,0.664,NORMAL,0,87.2,0,49,0.0
5191.9,14.85,6.79,100.82,55.78,0.213,42.93,40.62,35.56,37.1,0.15,0.63,-0.011,0.31,0.19,0.25,-0.14,3.75,5041.2,231.11,55.76,0.147,0.215,0.036,0.012,-0.0004,0.644,NORMAL,0,87.13,0,50,0.0
4940.8,14.79,6.2,91.64,55.97,0.166,40.98,40.62,33.71,42.2,0.14,0.82,-0.043,0.35,0.18,0.33,-0.54,3.83,5020.1,229.68,55.8,0.144,0.21,0.0388,-0.003,-0.0051,0.663,NORMAL,0,87.05,0,51,0.0
4774.1,14.81,5.86,86.81,55.58,0.166,39.46,40.62,32.11,52.4,0.18,0.51,-0.033,0.44,0.23,0.2,-0.41,3.9,4990.7,240.22,55.75,0.134,0.2,0.0371,-0.012,-0.0014,0.679,NORMAL,0,86.97,0,52,0.0
4950.3,14.76,6.43,94.88,55.92,0.225,41.3,40.62,32.75,23.2,0.31,0.83,0.014,0.19,0.39,0.33,0.18,3.91,5002.1,235.27,55.77,0.143,0.204,0.0376,0.001,0.0019,0.673,NORMAL,0,86.89,0,53,0.0
4612.6,14.84,5.46,81.09,55.33,0.211,38.07,40.62,31.0,49.5,0.12,0.38,0.02,0.41,0.15,0.15,0.25,3.93,4983.9,256.64,55.71,0.186,0.206,0.0374,-0.009,-0.0012,0.69,NORMAL,0,86.82,0,54,0.0
5241.2,14.83,6.84,101.49,55.35,0.185,43.44,40.62,36.34,31.7,0.07,0.25,-0.043,0.26,0.09,0.1,-0.54,3.71,5030.8,256.6,55.69,0.206,0.201,0.0367,-0.019,-0.0037,0.637,NORMAL,0,86.74,0,55,0.0
4971.3,14.72,6.25,91.92,55.6,0.22,41.3,40.62,34.24,57.7,0.16,0.49,0.01,0.48,0.2,0.2,0.13,3.79,4981.7,212.7,55.69,0.208,0.198,0.0335,-0.009,-0.0027,0.658,NORMAL,0,86.66,0,56,0.0
5268.8,14.77,6.98,103.12,55.57,0.261,43.68,40.62,36.33,51.6,0.19,0.32,0.033,0.43,0.24,0.13,0.41,3.71,4974.3,200.97,55.67,0.209,0.197,0.0321,-0.009,0.0054,0.637,NORMAL,0,86.59,0,57,0.0
4885.4,14.91,6.15,91.71,55.48,0.181,40.25,40.62,32.57,35.5,0.2,0.26,-0.026,0.3,0.25,0.1,-0.32,3.9,4981.6,196.3,55.64,0.214,0.199,0.0306,-0.019,0.0011,0.674,NORMAL,0,86.51,0,58,0.0
5272.2,14.84,7.28,108.03,56.02,0.252,43.51,40.62,34.75,50.7,0.48,0.67,0.024,0.42,0.6,0.27,0.3,3.84,5010.9,214.76,55.66,0.237,0.208,0.0316,0.013,0.0022,0.653,NORMAL,0,86.43,0,59,0.0
9331.7,14.75,22.81,336.33,33.09,0.562,79.57,54.92,70.14,68.3,0.24,-22.28,0.019,0.57,0.3,-8.91,0.24,4.66,9331.7,0.0,33.09,0.0,0.562,0.0,0.0,0.0,0.299,HIGH_LOAD,0,115.96,1,0,0.0
9385.4,14.82,23.04,341.44,40.8,0.592,79.76,55.0,70.33,57.0,0.15,16.28,0.043,0.47,0.19,6.51,0.54,3.53,9358.5,26.85,36.95,3.855,0.577,0.015,0.0,0.0,0.297,HIGH_LOAD,0,115.13,1,1,0.002
8915.8,14.83,21.18,314.16,46.57,0.524,75.76,55.14,65.61,53.9,0.43,15.97,0.018,0.45,0.54,6.39,0.23,3.62,9211.0,209.86,40.15,5.522,0.559,0.0278,3.37,-0.0095,0.344,HIGH_LOAD,0,114.06,1,2,0.006
9184.8,14.91,22.46,334.91,51.49,0.505,77.93,55.32,67.38,21.7,0.29,15.06,-0.029,0.18,0.36,6.02,-0.36,3.4,9204.4,182.1,42.99,6.853,0.546,0.0337,3.067,-0.0095,0.326,HIGH_LOAD,0,112.87,1,3,0.011
9321.5,14.76,22.91,338.21,56.68,0.534,79.76,55.54,69.87,41.1,0.15,14.9,-0.011,0.34,0.19,5.96,-0.14,3.28,9227.8,169.47,45.73,8.22,0.543,0.0305,2.949,-0.0035,0.301,HIGH_LOAD,0,111.6,1,4,0.018
9434.1,14.85,23.8,353.48,60.61,0.514,80.33,55.78,69.45,34.3,0.42,13.93,-0.042,0.29,0.53,5.57,-0.53,3.14,9262.2,172.75,48.21,9.332,0.538,0.0299,2.752,-0.0048,0.306,HIGH_LOAD,0,110.26,1,5,0.025
9125.8,14.82,22.21,329.05,64.12,0.547,77.87,56.05,67.68,38.6,0.27,13.53,0.02,0.32,0.34,5.41,0.25,3.11,9242.7,166.91,50.48,10.278,0.54,0.0279,2.586,-0.0013,0.323,HIGH_LOAD,0,108.87,1,6,0.032
9230.5,14.77,23.12,341.41,66.81,0.511,78.91,56.35,67.66,58.1,0.72,12.64,-0.024,0.48,0.9,5.06,-0.3,2.99,9241.2,156.18,52.52,11.028,0.536,0.0277,2.409,-0.0036,0.323,HIGH_LOAD,0,107.43,1,7,0.041
9169.6,14.78,22.74,336.19,69.41,0.453,78.35,56.67,67.53,62.2,0.6,12.14,-0.076,0.52,0.75,4.86,-0.95,2.93,9233.2,148.96,54.4,11.673,0.527,0.037,2.27,-0.0068,0.325,HIGH_LOAD,0,105.94,1,8,0.05
9152.5,14.84,22.79,338.23,71.5,0.567,78.3,57.0,66.93,19.9,0.47,11.45,0.036,0.17,0.59,4.58,0.45,2.8,9225.2,143.38,56.11,12.205,0.531,0.0371,2.134,0.0003,0.331,HIGH_LOAD,0,104.42,1,9,0.06
8887.7,14.77,21.69,320.5,72.75,0.505,76.2,57.36,64.87,49.7,0.69,10.58,0.001,0.41,0.86,4.23,0.01,2.75,9180.8,169.82,60.07,10.39,0.525,0.0362,1.775,-0.0048,0.351,HIGH_LOAD,0,102.87,1,10,0.07
8900.6,14.81,21.76,322.38,74.18,0.542,76.32,57.74,64.96,31.3,0.55,10.08,0.035,0.26,0.69,4.03,0.44,2.67,9132.3,173.64,63.41,8.919,0.52,0.0295,1.534,0.001,0.35,HIGH_LOAD,0,101.28,1,11,0.081
